difference,target,tweets
-0.280000000000001,26.74,3
-0.049999999999997005,26.69,4
-0.17999999999999902,26.51,3
0.189999999999997,26.7,3
-0.169999999999998,26.53,1
0.09999999999999701,26.63,5
-0.009999999999998,26.62,5
0.019999999999999,26.64,4
0.14,26.78,1
0.14,26.92,2
0.009999999999998,26.93,3
-0.30000000000000004,26.63,5
-0.029999999999997,26.6,5
-0.07,26.53,5
-0.07,26.46,5
-0.170000000000001,26.29,3
0.260000000000001,26.55,1
0.009999999999998,26.56,0
-0.169999999999998,26.39,1
0.14999999999999802,26.54,3
0.31000000000000205,26.85,0
0.27999999999999703,27.13,0
-0.129999999999999,27.0,3
-0.25,26.75,1
0.030000000000001,26.78,1
-0.330000000000001,26.45,0
-0.08999999999999901,26.36,2
0.330000000000001,26.69,5
-0.060000000000002,26.63,1
0.269999999999999,26.9,2
-0.08999999999999901,26.81,3
-0.09999999999999701,26.71,5
0.379999999999999,27.09,5
-0.17999999999999902,26.91,2
0.010000000000001001,26.92,4
0.169999999999998,27.09,1
0.519999999999999,27.61,2
0.23,27.84,5
-0.35999999999999904,27.48,1
-0.559999999999998,26.92,5
0.7199999999999981,27.64,5
-0.080000000000001,27.56,5
-0.169999999999998,27.39,5
-0.080000000000001,27.31,5
-0.259999999999998,27.05,1
-0.010000000000001001,27.04,5
-0.30000000000000004,26.74,1
0.18000000000000302,26.92,0
-0.11000000000000201,26.81,2
0.060000000000002,26.87,1
0.05,26.92,0
-0.16,26.76,1
0.079999999999998,26.84,1
0.8200000000000001,27.66,0
0.039999999999999,27.7,1
-0.41999999999999804,27.28,2
-0.330000000000001,26.95,1
0.019999999999999,26.97,1
0.010000000000001001,26.98,1
0.10999999999999902,27.09,1
0.100000000000001,27.19,0
0.07,27.26,0
0.09999999999999701,27.36,0
-0.30000000000000004,27.06,2
-0.10999999999999902,26.95,0
0.05,27.0,4
0.019999999999999,27.02,0
0.23,27.25,0
0.0,27.25,3
0.14999999999999802,27.4,5
-0.11999999999999701,27.28,2
-0.010000000000001001,27.27,5
-0.059999999999998006,27.21,2
0.05,27.26,1
-0.18000000000000302,27.08,3
0.060000000000002,27.14,1
0.169999999999998,27.31,4
-0.009999999999998,27.3,0
0.199999999999999,27.5,1
-0.170000000000001,27.33,0
0.020000000000003,27.35,0
0.08999999999999901,27.44,0
-0.040000000000002006,27.4,0
-0.049999999999997005,27.35,0
-0.080000000000001,27.27,0
-0.199999999999999,27.07,1
-0.190000000000001,26.88,0
0.170000000000001,27.05,5
-0.12000000000000101,26.93,0
0.0,26.93,2
-0.019999999999999,26.91,0
-0.039999999999999,26.87,0
-0.019999999999999,26.85,2
-0.030000000000001,26.82,2
0.030000000000001,26.85,3
0.019999999999999,26.87,2
0.039999999999999,26.91,2
0.05,26.96,0
